date,year,type,country,state,activity,sex,age,injury,species,source
2022-01-06,2022,Unprovoked,Usa,Florida,Board activities/sports,F,42,Punctures to leg,Black Shark,ABC.net
2022-01-04,2022,Unprovoked,Australia,New South Wales,Other,F,42,Minor lacerations to lower thigh,Other,"A. Currie, GSAF"
2022-01-01,2022,Unprovoked,Australia,Western Australia,Board activities/sports,M,40s,"No injury, knocked off board",Other,"Perth Now, 1/1/2022"
2021-12-25,2021,Unprovoked,New Zealand,South Island,Swimming activities/sports,F,9,Laceration to big toe,Other,"New Zealand Herald, 12/31/2021"
2021-12-22,2021,Unprovoked,Usa,Florida,Board activities/sports,F,42,Punctures to leg,Black Shark,ABC.net
2021-12-06,2021,Unprovoked,Mexico,Quintana Roo,Swimming activities/sports,M,14,Lacerations,Other,"Riviera Maya Times, 12/6/2021"
2021-12-06,2021,Unprovoked,Australia,Victoria,Swimming activities/sports,F,15,Lacerations to right calf and hand,Other,"B. Myatt, GSAF and K. McMurray, TrackingSharks.com"
2021-12-06,2021,Unprovoked,Australia,Victoria,Swimming activities/sports,M,15,Lacerations to back,Other,"B. Myatt, GSAF and K. McMurray, TrackingSharks.com"
2021-12-04,2021,Unprovoked,Usa,Hawaii,Board activities/sports,M,,Arm bitten,Black Shark,"K. McMurray, TrackingSharks.com"
2021-11-07,2021,Unprovoked,Usa,Hawaii,Other,F,27,Leg bitten,Other,"K. McMurray, TrackingSharks.com"
2021-11-06,2021,Unprovoked,Australia,Western Australia,Swimming activities/sports,M,57,FATAL,Other,"S. De Marchi and B. Myatt,  GSAF"
2021-11-03,2021,Unprovoked,Brazil,São Paulo.,Swimming activities/sports,M,,Laceration to lower right leg,Other,"O. Gadig and K.McMuray, TrackingLSharks.ocm"
2021-11-02,2021,Unprovoked,New Zealand,North Island,Board activities/sports,M,26,Fingers lacerated,Other,"K. McMurray, TrackingSharks.com"
2021-10-16,2021,,Australia,Queensland,Other,M,26,Disappeared,Other,"K. McMurray, TrackingSharks.com"
2021-10-15,2021,Unprovoked,Australia,Queensland,Swimming activities/sports,M,34,Lacerations and puncture to left leg,Other,"S. De Marchi & B. Myatt, GSAF, and  K. McMurray, TrackingSharks.com"
2021-10-04,2021,Unprovoked,Usa,Florida,Board activities/sports,M,25,`Left foot bitten,Other,"K. McMurray, TrackingSharks.com"
2021-10-03,2021,Unprovoked,Usa,Florida,Swimming activities/sports,M,,Injury to lower left leg,Other,"CBS12, 10/3/2021"
2021-10-03,2021,Unprovoked,Usa,California,Board activities/sports,M,38,Injury to posterior left thigh,Other,"R. Collier, GSAF & K. "
2021-09-10,2021,,Egypt,,Swimming activities/sports,M,,Laceration to arm caused by metal object,Other,Dr. M. Fouda & M. Salrm
2021-09-09,2021,Unprovoked,Usa,Florida,Board activities/sports,M,!6,Minor injury to right arm,Other,"Daytona Beach News-Journal, 9/14/2021"
2021-09-05,2021,Unprovoked,Australia,New South Wales,Board activities/sports,M,31,FATAL,White Shark,"B. Myatt, GSAF"
2021-09-03,2021,Unprovoked,England,Turks and Caicos,Other,M,,Wrist bitten,Other,Anonymous
2021-09-03,2021,Unprovoked,Usa,Louisiana,Other,M,64,Severe injury to leg,Other,"S. Wagemann, GSAF"
2021-08-28,2021,Unprovoked,Usa,Texas,Board activities/sports,M,!!,Lacerations both sides of lower leg immediately above the ankle,Other,"T. Craig, GSAF  & K. McMurray, TrackingShark.com"
2021-08-21,2021,Unprovoked,Usa,Florida,Board activities/sports,M,41,Left ankle and foot bitten,Bull Shark,
2021-08-13,2021,Unprovoked,Canada,Nova Scotia,Swimming activities/sports,F,21,Thigh injured,Other,"J. Marchand, GSAF"
2021-08-07,2021,Provoked,Australia,Queensland,Fishing activities,M,,"No Injury, jet ski bitten PROVOKED INCIDENT",Other,"J. Marchand and S. De Marchi, GSAF"
2021-08-07,2021,Unprovoked,Usa,Florida,Board activities/sports,M,35,Minor cuts to right foot and ankle,Other,"J. Marchand, GSAF"
